checkpoint,timestamp,ram_used_gb,ram_used_mb,ram_percent,gpu_used_gb
before_model_load,1.5548441410064697,23.1983642578125,23755.125,50.5,0
after_model_load,3.6600749492645264,28.401565551757812,29083.203125,61.3,0
before_generation,3.6636159420013428,28.388153076171875,29069.46875,61.3,0
after_generation,235.45953798294067,17.740570068359375,18166.34375,84.4,0
before_generation,235.47333598136902,17.752273559570312,18178.328125,84.4,0
after_generation,255.12835097312927,17.776443481445312,18203.078125,84.5,0
before_generation,255.1328480243683,17.775711059570312,18202.328125,84.5,0
after_generation,313.39940094947815,18.230575561523438,18668.109375,83.8,0
