checkpoint,timestamp,ram_used_gb,ram_used_mb,ram_percent,gpu_used_gb
before_model_load,0.017642974853515625,12.054046630859375,12343.34375,29.1,0
after_model_load,2.5352020263671875,19.435195922851562,19901.640625,44.5,0
before_generation,2.5387320518493652,19.413681030273438,19879.609375,44.5,0
after_generation,214.62112617492676,17.948745727539062,18379.515625,84.4,0
before_generation,214.64703106880188,17.954360961914062,18385.265625,84.4,0
after_generation,233.40109205245972,17.830184936523438,18258.109375,83.8,0
before_generation,233.40658712387085,17.830581665039062,18258.515625,83.8,0
after_generation,287.2102482318878,18.021621704101562,18454.140625,84.0,0
